,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,mid_mst_a,med_sfr_a,low_sfr_a,upp_sfr_a,med_qir,low_qir,upp_qir
10,9.691642517253993e+20,7.479342393599984e+33,1.5754757987334727e+32,1.513293211215983e+36,1740045423.406136,0.45366561197558225,0.32669488987312023,0.7433757980010212,1740045423.406136,0.45366561197558225,0.20669042780326813,5.742609883351016,0.2547394568718069,-1.285390803987175,2.571270404027464
11,1.337755927413305e+21,1.4085533299200005e+34,2.517409507770602e+32,1.835614254429553e+36,2283937171.843121,0.5823079937258344,0.4281762151005676,0.9227241849721975,2283937171.843121,0.5823079937258344,0.23922169927214668,8.143589073895246,0.6934216430445819,-1.1947372811307335,2.62250115715441
12,1.8465300573596583e+21,2.639138346239998e+34,3.6258318879790094e+32,2.7477702879009925e+36,2997834961.5240045,0.7545553947325686,0.5429154316800895,1.1119252823982309,2997834961.5240045,0.7545553947325686,0.33334678682228536,6.740848976500699,0.6015438196054781,-1.3197620770883745,2.5972362166781418
13,2.5488007063632546e+21,4.077595233169683e+34,4.824766081772826e+32,3.246792054656051e+36,3934878142.5905743,0.93270425922688,0.6619533829169507,1.3954449196351542,3934878142.5905743,0.93270425922688,0.4143967165916676,5.943875322931736,0.35320043104150756,-1.3974008757862177,2.4800831719204157
14,3.518158296349081e+21,4.621502010669091e+34,7.787511141389904e+32,4.303241233720435e+36,5164816007.471554,1.209936027357982,0.8857420667309079,1.7096304613763136,5164816007.471554,1.209936027357982,0.5715273620623154,9.098309791975932,0.04366803464185409,-1.2919349752650853,2.5406243337438976
15,4.856181092255959e+21,1.6605296843520095e+35,9.397916475746755e+32,6.956539617041706e+36,6779199615.435202,1.4771838333258875,1.041989324350526,2.3851022055126077,6779199615.435202,1.4771838333258875,0.7183638350110418,8.627999991073574,0.7005361483307659,-1.116270640928508,2.5577300725655214
16,6.703079513294405e+21,9.511043287679944e+34,9.965354795806586e+32,9.368456981077856e+36,8898196442.900082,1.8656651248715987,1.3919153425704338,2.9826150214010734,8898196442.900082,1.8656651248715987,1.012713466337681,22.14005080236929,0.3984387891296137,-1.3754819001333543,2.609379093042374
17,9.252388679079131e+21,3.473542972267807e+34,1.5267473690877368e+33,1.107417881230054e+37,11679535111.5143,2.216659611416467,1.6073651732490333,3.2670619723521237,11679535111.5143,2.216659611416467,1.305097785195255,38.67919725235968,1.3197937014835865,-1.2796993554982135,2.5834462326912595
18,1.2771248811679098e+22,1.888074963657044e+35,1.5105645049935004e+33,1.4364370865308336e+37,15330245999.45069,2.837587522862153,2.1630147643602604,4.400567404109888,15330245999.45069,2.837587522862153,1.5975026787845232,35.03741126486897,0.7878185695683833,-1.3724305772772039,2.540143606484961
19,1.7628398661917022e+22,1.139094821039998e+34,1.0933128877788027e+33,1.43539827008004e+37,20122071654.374523,3.4705323493382445,2.5534747294608424,5.707823198537676,20122071654.374523,3.4705323493382445,2.0540355464812023,25.220796612105563,0.07999162163733331,-1.3611011663072734,2.464745568769523
20,2.433281537035693e+22,1.7110445113344104e+36,1.48225506365211e+33,2.645540111864914e+37,26411694090.120335,4.5651323578639555,3.2276337690517383,6.924883885111601,26411694090.120335,4.5651323578639555,2.695228326436359,25.727989978329003,0.6821072027764785,-1.4911923673656553,2.4332167417439927
21,3.3587049805435445e+22,1.3178069456639992e+35,9.693679801496125e+33,5.447785086127145e+36,34667284596.3375,5.550845510649451,4.048260651752766,10.213604779229133,34667284596.3375,5.550845510649451,3.2801037953861174,27.21646877784942,1.0336420782630817,-1.4930747631498138,2.4644038684315173
22,4.636084634937389e+22,1.324054670400004e+34,2.4443222422352716e+33,3.1294346667101965e+37,45503352309.87766,9.870712617993824,5.650714386541815,15.699674135056757,45503352309.87766,9.870712617993824,4.8783249487412785,87.92539115511715,-0.40518323871484974,-1.49353503114528,2.4369974127559337
23,6.3992761694789445e+22,1.4241710309375914e+37,8.332685322784437e+33,5.417743323728011e+37,59726485519.307076,9.310660830258911,7.1402201718288465,20.195732473672024,59726485519.307076,9.310660830258911,6.258723740976678,220.16954661812437,0.3701003355277628,-1.5063087319144595,2.2209342330286215
24,,,,,,,,,78395390480.13469,15.012061355423226,10.239971233904061,39.35899728882183,,,
25,,,,,102899696760.93028,27.67324640338642,15.192048719932988,40.996206221082964,102899696760.93028,27.67324640338642,11.247829983901259,142.72363659643784,1.973155477047996,-1.1979951223876077,2.4833258223080286
26,,,,,,,,,135063395036.91206,22.2532163730597,22.2532163730597,22.2532163730597,,,
27,,,,,,,,,177280606776.5135,56.507286490877604,32.98870893324175,96.79291884456121,,,
28,,,,,,,,,232693791907.56754,,,,,,
