,mid_rad,med_fir,low_fir,upp_fir,mid_mst,med_sfr,low_sfr,upp_sfr,med_qir,low_qir,upp_qir
13,1.464037431731969e+22,2.425256635760621e+37,1.7388862604956884e+37,2.9459665622709896e+37,16319029185.351593,2.923148432969671,1.567436153613945,79.64735597225096,2.6617312512074918,2.5105914327693934,2.7280119350815015
14,2.0158827152620044e+22,3.273417371811844e+37,2.364746990762292e+37,4.0287057266221385e+37,20765262581.001446,3.568664492049365,1.9543097468669433,124.41879781397598,2.6606775538822482,2.526662336846748,2.7286341014063633
15,2.775737172843061e+22,4.42468973641731e+37,3.2718296603103438e+37,5.451311657175056e+37,26422903296.53898,4.43845587006442,2.433568763304877,158.6280759898419,2.6657558236257266,2.5385025392315,2.7304804918476218
16,3.822006505820656e+22,5.996798304583646e+37,4.53546610464865e+37,7.435692343076977e+37,33622007710.945793,5.750639792650412,3.086713857921464,168.54566497695694,2.6680461933519677,2.53850936807026,2.732262619669791
17,5.2626501793660036e+22,8.206751266897891e+37,6.363321938448452e+37,9.918673619358206e+37,42782558367.19422,7.675418618184708,3.920659781073807,282.03001196556534,2.6631443583277807,2.5317345165382843,2.732898670059839
18,7.24632123681702e+22,1.1112025549701115e+38,8.730641916240557e+37,1.3279456546296507e+38,54438964983.23888,10.011462459818157,4.965718331585286,420.2402386859835,2.662277776518504,2.5491689472140666,2.7354472859345473
19,9.977705087262929e+22,1.5276268975814123e+38,1.2300923869111896e+38,1.8332708671499867e+38,69271240934.45589,12.856596704253215,6.061835290545998,309.6643337016207,2.6671985802335083,2.5508600087132964,2.7468426172199236
20,1.373864000157442e+23,2.0666783166627845e+38,1.650347394465785e+38,2.419974435766265e+38,88144673986.30377,16.161405557839206,7.896627329686186,327.2787355646452,2.666138379169883,2.5771131504694553,2.7430987109316534
21,1.891719863857376e+23,2.88252317533228e+38,2.3615673674111295e+38,3.3763861390115575e+38,112160305594.97682,21.54299512477409,9.516201233611163,440.8856795677759,2.661414664656876,2.562362386178377,2.737128991945361
22,2.6047731383182537e+23,4.035231710976632e+38,3.24144187075756e+38,4.615200774779283e+38,142719163645.8171,26.49296139960866,12.67312626666798,636.4504927324867,2.6517392312950925,2.5510866432267885,2.7395326535943267
23,3.586600337467228e+23,5.418450229395446e+38,4.457700626235647e+38,6.4216240441395696e+38,181603995849.61475,31.051595097864094,15.958903247627223,651.5190639105667,2.6778009236111515,2.5986513307167494,2.758327985605487
24,4.93851145479232e+23,7.572703503974349e+38,5.891111964601577e+38,8.422836629726954e+38,231083271973.14832,38.91612149910253,20.66041263941814,718.6455055368426,2.6681150986209623,2.587084050096897,2.7520358760903423
25,6.800003650905194e+23,1.114766112856605e+39,9.108567735082869e+38,1.2542232945426152e+39,294043522203.31256,89.04021665091172,28.05803072719467,1216.0473566058022,2.6858928201573526,2.6166118249151102,2.74798507290655
26,,,,,374157732022.1432,59.24815365131979,32.35570955470509,1040.5438887409782,2.666043053090897,2.5872204072768863,2.728344762605567
27,,,,,476099617440.8427,59.414729198336836,40.876761380950654,724.6230078291729,2.6982077097879973,2.4595803547812487,2.762232573820799
28,,,,,605816281016.7457,97.2037837387631,51.54951089879415,272.27635246345335,2.686317661091957,2.6117547096291043,2.7276150236644323
